id	inquiry_category	general_template
1	이용권 구매 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 구매 방법 안내드립니다.  \n\nWavve(웨이브) 이용권은 구매처에 따라 금액 및 방법이 다를 수 있습니다. \n아래 내용을 참고하여 가장 편리한 방법으로 이용해 보시기 바랍니다.\n\n■ Wavve(웨이브) 이용권 구매 방법 안내\n\n1. 기기별 구매 경로\n    ① 모바일 웹(Web): 우측 상단 [사람 모양 아이콘] → 이용권 선택 후 원하는 상품 구매\n    ② PC: 우측 상단 [이용권] 메뉴 선택 → 원하는 상품 구매\n    ③ TV: 메뉴 → MY → 이용권 구매\n\n 2. 제휴사 결합 상품 구매\n    ① 통신사 상품 : SKT, KT, 알뜰폰, 스카이라이프 등 각 통신사를 통해 구매 가능합니다.\n    ② 결합 상품 : TVING, 벅스(Bugs), FLO 상품은 Wavve 사이트 내 이용권 구매 페이지에서 구매하실 수 있습니다.\n\n3. 구매 시 유의 사항 (꼭 확인해 주세요!)\n    ① 모바일 앱(iOS 인앱 결제 등)에서 구매 시 해외 수수료가 포함된 금액으로 결제될 수 있습니다. \n        PC 또는 모바일 웹에서 구매하시면 더욱 경제적으로 이용하실 수 있습니다.\n    ② 더블 이용권(Wavve x TVING)은 현재 Wavve Mobile App(iOS, Android),\n        Apple TV, Android TV에서는 구매가 불가능합니다\n\n■ Wavve(웨이브) 개별 구매 상품 구매 방법 안내\n\n1. 기기별 구매 경로\n    ① 모바일 웹(Web): 우측 상단 [사람 모양 아이콘] → 이용권 선택 후 원하는 상품 구매\n    ② PC: 우측 상단 [이용권] 메뉴 선택 → 원하는 상품 구매\n    ③ TV: 메뉴 → MY → 이용권 구매\n\n2. 구매 시 유의 사항 (꼭 확인해 주세요!)\n    ① iOS 기기에서는 [개별 구매]가 불가하므로, 모바일 웹(Web) 또는 PC에서 구매해 주시기 바랍니다.\n    ② Android 기기에서는 구글 플레이를 통해 코인을 충전한 후 [개별 구매]가 가능합니다.\n        코인 충전 시 해외 결제 수수료가 발생할 수 있으니 이용에 참고해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
2	아이디찾기/비밀번호 재설정	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 아이디 / 비밀번호 재설정 방법 안내드립니다.  \n\n아이디와 비밀번호를 찾으려면 로그인 화면에서 아이디와 비밀번호를 입력한 후,\n[아이디 찾기] 또는 [비밀번호 재설정]을 클릭하면 됩니다.\n\n상세 [아이디 찾기]와 [비밀번호 재설정] 방법은 아래와 같습니다.  \n\n■ 아이디 찾는 방법\n1. 본인 인증으로 찾기\n    - 본인 인증된 아이디 1개만 확인되며, 전체 아이디 또는 SNS 계정 여부를 확인할 수 있습니다. \n    - 경로 : [로그인] 클릭 → 아이디 찾기 → 본인 인증으로 찾기(휴대폰 인증 또는 아이핀 인증) \n2. 본인 인증되지 않은 [간편 아이디 찾기] \n    ① 뒷 3자리 마스킹된 아이디 또는  SNS 계정 여부를 확인할 수 있습니다. \n    ② 경로 : [로그인] 클릭 → 아이디 찾기 → 상단의 [간편 찾기] 선택\n        - 휴대폰 번호 = 성함 + 연락처 혹은\n        - 이메일 주소 = 성함 + 이메일 기재 후 (확인)\n\n■ 비밀번호 재설정 방법 \n1. 본인 인증으로 재설정 \n   - 경로 : [로그인] 클릭 → 비밀번호 재설정 → 본인 인증(휴대폰 인증 또는 아이핀 인증)  \n2. 본인 인증되지 않은 [간편 아이디] 재설정 \n    ① ID 회원 \n       - 경로 : [로그인] 클릭 → 비밀번호 재설정 → 회원 등록 정보 → ID 회원 \n       - 등록된 휴대폰 번호 또는 이메일 주소 선택 입력 후 수신된 인증 번호 입력하여 비밀번호 재설정 \n    ② 이메일 회원 \n    ① ID 회원 \n       - 경로 : [로그인] 클릭 → 비밀번호 재설정 → 회원 등록 정보 → 이메일 회원\n       - 등록된 휴대폰 번호 또는 이메일 주소 선택 입력 후 수신된 인증 번호 입력하여 비밀번호 재설정 \n3. 로그인되어 있는 상태에서 재설정 \n    - 모바일 웹/PC : MY - 회원정보 수정\n    - 모바일 앱 : MY - 프로필 이미지 - 회원 정보 수정 - 비밀번호 변경\n\nSNS 연동 아이디를 사용하시는 경우, 카카오, 네이버, 티월드, 페이스북, 애플 아이디 사이트에서\n직접 ‘아이디 찾기’ 기능을 이용해 확인할 수 있습니다\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
3	이용권 종류	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 이용권 종류 안내드립니다.  \n\n1. Wavve x TVING 더블 이용권 (결합 상품)\n    ① 더블 광고형 스탠다드 (월 7,000원)\n        - 동시 시청 2대, FHD / 고화질 지원, 모바일+PC+TV 이용 가능, 다운로드 15회 제공\n    ② 더블 슬림 (월 9,500원)\n        - 동시 시청: 웨이브 1대 / 티빙 2대\n        - 디바이스: 웨이브(모바일+PC) / 티빙(모바일+PC+TV)\n        - 화질: 웨이브 HD / 티빙 고화질\n        - 다운로드: 웨이브 무제한 / 티빙 15회 제공\n    ③ 더블 베이직 (월 13,500원)\n        - 동시 시청 1대, HD/일반 화질 지원\n        - 디바이스: 웨이브(모바일+PC) / 티빙(모바일+PC+TV)\n        - 다운로드: 웨이브 무제한 / 티빙 200회 제공\n    ④ 더블 스탠다드 (월 15,000원)\n        - 동시 시청 2대, FHD / 고화질 지원, 모바일+PC+TV 이용 가능\n        - 다운로드: 웨이브 무제한 / 티빙 300회 제공\n    ⑤ 더블 프리미엄 (월 19,500원)\n        - 동시 시청 4대, 최고 화질(4K 일부) 지원, 모바일+PC+TV 이용 가능\n        - 다운로드: 웨이브 무제한 / 티빙 400회 제공\n\n2. Wavve 단독 이용권\n    ① 광고형 스탠다드 (월 5,500원)\n        - 동시 시청 2대, FHD 화질 지원, 모바일+PC+TV 이용 가능, 다운로드 15회 제공\n    ② 베이직 (월 7,900원)\n        - 동시 시청 1대, HD 화질 지원, 모바일+PC 이용 가능, 다운로드 무제한(모바일 앱)\n    ③ 스탠다드 (월 10,900원)\n        - 동시 시청 2대, FHD 화질 지원, 모바일+PC+TV 이용 가능, 다운로드 무제한\n    ④ 프리미엄 (월 13,900원)\n        - 동시 시청 4대, 최고화질(4K 일부) 지원, 모바일+PC+TV 이용 가능, 다운로드 무제한\n\n3. 이용 시 유의 사항\n    ① 광고형 스탠다드\n        - LG TV WebOS 4.0 미만 버전이나 차량 인포테인먼트(IVI)에서는 재생이 불가합니다.\n        - 애플 AirPlay, 구글 캐스팅 등 미러링 기능과 타임머신, PIP 기능은 지원되지 않습니다.\n        - 제작사 요청에 따라 일부 콘텐츠 시청이 제한될 수 있습니다.\n    ② 공통 사항\n        - 더블 이용권은 Apple TV+ 등 일부 콘텐츠가 제공 범위에서 제외될 수 있습니다.\n        - 앱스토어(iOS/Android) 결제 시 수수료가 포함될 수 있으므로, 웹(Web) 사이트 구매를 권장합니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
4	회원 정보 변경	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 회원 정보 변경에 대한 안내드립니다.  \n\n회원 정보 변경은 항목별 아래와 같이 변경이 가능합니다. \n\n1. 아이디 변경\n- 아이디 형태: 이메일 형식의 일반 아이디는 변경할 수 있으나, SNS 연동 아이디는 변경이 불가합니다.\n- 변경 기준: 아이디 변경 시에는 이메일 주소 형식으로만 설정 가능합니다.\n- 재가입 : 기존 아이디를 탈퇴 후 재가입하더라도 동일한 아이디로 즉시 가입할 수 있습니다.\n- 이메일 인증: 최초 가입 시에는 인증 없이 가입 가능하지만, 아이디 변경 시에는 이메일 인증이 필수입니다.\n- 횟수 및 복구: 변경 횟수 제한은 없으나, 변경 후 이전 아이디로의 복구는 어렵습니다.\n\n2. 이메일 주소 변경 \n- 이메일 형식 아이디: 아이디 자체가 이메일인 경우, 아이디를 변경해야 이메일 주소도 함께 변경됩니다.\n- 그 외 아이디: 이메일 형식 외 일반 아이디나 SNS 연동 아이디는 이메일 주소만 별도로 변경 가능합니다.\n\n3. 휴대폰 번호 변경\n- 본인 인증 시 자동으로 기입되며, 번호 변경 시 추가 인증 과정이 진행됩니다.\n- iOS 기기 이용자 : 모바일 웹 또는 PC에서 로그인하여 본인 인증을 진행해 주시기 바랍니다.\n\n4. 참고 사항 \n- 본인 인증 정보 : 본인 인증을 완료한 아이디는 이름과 생년월일 변경이 불가능합니다. \n                         단, '개인 정보 초기화' 기능을 통해 초기화 후 다시 본인 인증을 \n                         완료하면 정보를 변경할 수 있습니다.\n- SNS 연결 관리 : [SNS 연결 관리] 메뉴를 통해 일반 아이디에 SNS 계정을 연결하거나, \n                        SNS 연동 가입 후 일반 아이디를 추가 생성하여 더욱 편리하게 로그인할 수 있습니다.\n\n[변경 경로]\n- 모바일 APP기준 : 로그인 > 하단 MY > 오른쪽 상단 설정(톱니바퀴) > 회원 정보 수정\n- PC / 모바일 Web 기준 : 오른쪽 상단 프로필명 > 회원 정보 수정 \n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
5	탈퇴 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 탈퇴 방법 안내드립니다. \n\n1. 탈퇴 경로\n   - 모바일 앱 / Web : 우측 하단 MY → 상단 이름(프로필) 선택 → 회원정보 수정 → 회원탈퇴\n   - PC : 우측 상단 이름(프로필) 선택 → 회원정보 수정 → 회원탈퇴\n   - 스마트 TV : 고객센터 > [회원탈퇴하기] 버튼을 클릭하면 QR코드 노출 → 홈페이지 연결 \n2. 탈퇴 시, 유의 사항 \n   - 데이터 삭제: 탈퇴 즉시 보유 중인 이용권, 영구 소장 영화, 개별 구매 콘텐츠, 코인이 모두 소멸되며 복구가 불가능합니다.\n   - 정보 복구 불가: 탈퇴 후에는 기존 회원 정보를 복원할 수 없습니다. 단, 동일한 아이디로 즉시 재가입은 가능합니다.\n   - 인앱 결제 이용자(구글/애플): 인앱 결제 이용권을 보유 중인 경우 시스템상 즉시 탈퇴가 어렵습니다.\n      (탈퇴 후에도 자동 결제가 발생할 수 있으므로, 반드시 구매처인 앱스토어 또는 구글 플레이스토어에서 \n      직접 '구독 해지'를 완료하신 후 탈퇴해 주시기 바랍니다.)\n   - 자사 결제가 아닌 제휴 이용권 보유 시 탈퇴 불가 : 구매처로 문의하여 상품 해지 필요 \n     (제휴 상품 : 벅스 / 스카이라이프 / 통신사(SKT, KT 알뜰폰, SK7mobile) / FLO / 더블 이용권 등) \n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
6	프로필 기능 문의	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 <프로필 기능>에 대해 아래와 같이 안내드립니다. \nWavve는 고객님의 이용 편의를 위해 프로필 기능을 단계적으로 업데이트하였습니다.\n\n[주요 업데이트 기능 안내]\n1. 프로필 4개 기본 제공 (2025년 12월 2일 적용)\n   - 보유하신 이용권 종류와 관계없이 모든 계정에 프로필이 4개까지 기본 생성 및 노출됩니다.\n   - 단, 동시 시청 가능 인원수는 기존과 동일하게 보유하신 이용권 기준으로 유지됩니다. \n     (예: 베이직 이용권은 프로필이 4개여도 동시 시청은 1명만 가능)\n   - 상세 내용은 **[FAQ]**를 참고바랍니다. \n\n2. 프로필별 잠금 기능 (2025년 12월 4일 적용)\n   - 각 프로필에 개별 비밀번호를 설정하여 프라이버시를 보호할 수 있습니다.\n   - 설정 경로: 프로필 이미지 선택 > [프로필 잠금] > 비밀번호 설정 및 해제\n\n[참고 사항]\n   - 기본 제공되는 4개의 프로필은 삭제가 되지 않는 점 양해 부탁드립니다.\n   - 프로필 비밀번호는 4자리 숫자로 설정 가능하며, '0000'은 보안상 사용이 불가합니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
7	개명	안녕하세요, Wavve(웨이브)입니다. \n\n문의하신 개명에 따른 성함 변경 방법을 안내드립니다.\n\nWavve(웨이브)는 본인 인증을 완료한 아이디의 개인정보 초기화 기능을 제공하고 있습니다.\n\n아래 경로를 통해 개인정보를 초기화하신 후, \n다시 **[본인 인증]**을 진행하시면 변경된 성함으로 반영됩니다.\n\n[경로]\n- 모바일 앱 / Web : 로그인 > 하단 MY > 오른쪽 상단 설정(톱니바퀴) > 회원 정보 수정 > 개인정보 초기화\n- PC : 오른쪽 상단 프로필명 > 회원 정보 수정 > 개인정보 초기화\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
8	본인 인증 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 본인 인증 및 개인 정보 초기화에 대해 안내드립니다.  \n\n- 본인인증: 회원가입 시 인증 단계를 건너뛴 경우, 마이페이지에서 추가로 본인인증을 진행할 수 있습니다.\n- 개인정보 초기화: 본인인증 완료 후 계정을 변경하거나 기존 정보를 삭제해야 할 경우, 초기화 기능을 이용하시기 바랍니다.\n- 인증 수단: 휴대폰 본인확인 또는 아이핀(i-PIN)을 통해 인증이 가능합니다.\n- 인증 제한: 다수의 계정을 보유하고 있더라도, 본인인증은 1개의 계정에서만 가능합니다. (1인 1계정 인증 원칙)\n- iOS(아이폰) 이용 안내: iOS 모바일 앱에서는 본인인증이 지원되지 않습니다. PC 또는 모바일 웹(Web) 버전에 접속하여 인증 바랍니다.  \n- 정보 자동 반영: 본인인증이 완료되면 이름, 성별, 생년월일, 휴대폰 번호는 회원 정보에 자동으로 입력(업데이트)됩니다.\n\n[변경 경로]\n- 모바일 APP기준 : 로그인 > 하단 MY > 오른쪽 상단 설정(톱니바퀴) > 회원 정보 수정\n- PC / 모바일 Web 기준 : 오른쪽 상단 프로필명 > 회원 정보 수정 "\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
9	성인 인증	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 [성인 비밀번호] 관련 안내드립니다.\n\nWavve(웨이브)는 청소년을 유해 콘텐츠로부터 보호하기 위해\n「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 및 「청소년 보호법」에 따라 서비스를 운영하고 있습니다. \n이에 따라 만 14세 이상부터 가입이 가능하며, 해당 연령 이상의 이용을 권장드립니다.\n\n[성인 비밀번호 안내]\n- 성인 비밀번호가 설정되지 않은 경우, 성인인증 후 비밀번호 생성이 가능합니다.\n- 비밀번호 생성 후에는 [비밀번호 변경] 또는 [비밀번호 초기화]를 통해 새로운 비밀번호를 설정할 수 있습니다.\n- 성인 비밀번호는 여성가족부 권고사항에 따라 연 1회 재인증이 필요합니다.\n\n[성인 비밀번호 설정 경로] \n- 모바일 앱/Web: 로그인 > 하단 [MY] > 우측 상단 [설정(톱니바퀴)] > [자녀 보호 설정]\n- PC: 우측 상단 [프로필명] > [자녀 보호 설정]\n\n[참고 사항] \n- 스마트 TV는 불특정 다수가 함께 사용하는 패밀리 기기로 분류됩니다.\n- 성인 비밀번호는 프로필을 변경하거나 앱을 종료하지 않는 한\n  한 번 입력 시 24시간 동안(TV는 2시간) 다시 묻지 않습니다.\n- 모바일/PC에서 잠금을 해제하더라도 스마트 TV 앱 내의 성인 콘텐츠 잠금은 해제되지 않습니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
10	[SKT] 계정 연결 방법	안녕하세요, Wavve (웨이브)입니다.\n\n[SKT 부가서비스]로 Wavve (웨이브)상품을 가입 후 반드시 \nWavve 계정과 **[연결하기]**를 완료해 주셔야 합니다. \n\n혹시 아래 절차대로 연결을 진행하셨는지 확인 부탁드립니다.\n\n■ 부가서비스 & Wavve 연결 방법\n① 안내 문자 확인: 우주패스 가입 후 수신된 문자(SMS) 내 연결 URL 선택\n② 휴대폰 인증 \n③ Wavve (웨이브)아이디로 로그인 시, 이용권이 지급되어 이용 가능 \n\n■ 우주패스 & Wavve 연결 방법\n① 안내 문자 확인: 우주패스 가입 후 수신된 문자(SMS) 내 연결 URL 선택\n② T월드 로그인: 본인의 T월드 계정으로 로그인\n    - 연결 경로: T월드 하단 [MY] → [나의 구독] → [구독 관리] → Wavve [연결하기] 선택\n    - 계정 연동: 연결할 Wavve 아이디와 비밀번호를 입력하여 로그인 완료\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.   \n감사합니다.   
