category_id	question	answer_category_id
1	11월23일에접수한게아직도 답변이 없는건 왜그런가요\n무슨 친절하게 빠른 답변이신지\n디즈니 웨이브 티빙3권 구매하려면어떻게해야하나요?	1
1	PC에서만 결제 가능한가요?	23
1	TV 앱에서는 구매가 안 되나요?	2
1	이용권 구매를 하고싶은데 개별 구매가 안되요	1
1	이용권 구매 문의	1
1	이용권 구매방법 좀 알려주세요	1
1	더블 이용권 구매 방법을 알려주시기 바랍니다.	1
1	더블 이용권을 구매하고 싶은데 중복으로 결제 함.	1
1	더블 티빙하고같이 나오는. 이용권을 구매하고 십은데 어떡해하나요?	1
1	더블이용권 구매 방법 알려주세요	1
1	더블이용권 구매하려구요	1
1	더블이용권 지금도 구매 가능한가요??\n금액은 어디서 확인 하나요??	1
1	디즈니 웨이브 티빙 3개 묶음 번들 구매하고 싶은데요	1
1	무료로 보는 영화보고  \n보고싶어 영화를 돈내고   영화보고싶어요\n돈내고 영화를 7일이나   영구적으로 아예  사려고한다면  어떻게  결제할까요?\n1번\n컴퓨터  pc로  웨이브의 아이디.  비밀번호 입력후에   어떻게 결제하나요?\n2번\n핸드폰으로  네이버나  다음  어플들어가서\n웨이브 홈페이지가서    아이디. 비밀번호 업력후\n원하는 영화를  결제하는 방법 알려주세요\n3번\n결제할때  카드만되나요?  아님  카드.  핸드폰의\n소액결제.  기타등등 잇나요?	1
1	스마트TV에서 바로 결제할 수 있나요?	1
1	앱에서 이용권 구매 버튼이 안 보여요.	1
1	앱이랑 홈페이지 중 어디서 이용권 결제해야 하나요?	1
1	연간권은 없나요?	1
1	연간이용권 해지하고\n웨이브 x 티빙 더블이용권 이용하려하는데\n어디서 구매해야하나요?	1
1	영화구매 어떻게 하나요?	1
1	웨이브 이용권은 어디서 구매하나요?	1
1	웨이브, 티빙 다 정기 구독중인데 더블이용권 구매하려면 어떻게 하나요?	1
1	웨이브. 티빙 같이 보려면 어떻게 결제 하면 되나요?	46
1	웨이브+티빙 더블구매이용권은 어떻게 구매하나요?	1
1	이용권 구매	1
1	이용권 구매 관련	1
1	이용권 구매 문의	1
1	티빙 웨이브 같이 되는.더블이용규ㅓㄴ을 구매하고 싶어요\n어떻게 가입할수있나요? 이용권 목록에는 더블이용권이 따로 보이지가 않아서요	1
1	티빙 웨이브 더블이용권 구매는 어떻게하나요? 이용권 구매에 메뉴가 없는데요	1
1	티빙과 더블이용권 구매하고 싶습니다.\n현재.12개월 웨이브 이용권 이용중이고요.	1
1	프로모션 이용권은 어디서 구매하나요?	1
1	현재 웨이브 스탠다드 연간권으로 이용중입니다. 더블스탠다드로 이용하고싶은데 아이튠즈로 구독중이라 어떻게 결제해야하는지 모르겠습니다. 아이튠즈 구독권에는 더블구독은 옶는데 어떻게 변경하나요?	1
1	휴대폰으로도 이용권 구매 가능한가요?	1
2	11.4 원래 사용중이던 웨이브 계정으로 \n자동결제후에 사용했는데 \n갑자기 밤에 들어가려고 하니깐 로그아웃이 되어 있었고\n로그인 하려 하니 이런 계정은 없다고 자꾸 떠요\n혹시 몰라 아이디 비번 찾기도 했는데 이런 이용자는 없다고 나오는데 제가 결제한 9000원어떻게되는건가요?\n\n아니면 제가 쓰던 계정을 다시 찾아주세요	2
2	9월 30일 웨이브&티빙 더블 slim 7,900원을 결제하였는데, 가입된 이용권이 조회되지 않아 시용을 못하고 있습니다.	2
2	pc는 되는데 모바일이 로그인이 안됩니다.	2
2	pc로 이용권을 먼저 구매하고 \n나중에 폰으로 로그인해서 사용할려 하니까 이용권이 안뜨네요. 확인부탁드립니다.	2
2	SKT T플랜 맥스 요금제로 웨이브를 잘 이용하고 있었는데, 언제부터인지 SKT로 로그인을 해도 볼 수가 없습니다.	2
2	sk텔레콤 웨이브앤데이터 이용고객입니다. 로그아웃후 재로그인 이후 웨이브를 시청할 수 없네요 확인 부탁드립니다	2
2	TV 로그인안됨	2
